uid,slice,Model_Global_RMSD,Base_Global_RMSD,Model_HighDose_RMSD,Base_HighDose_RMSD,Model_HighDose_MAX_Error,Model_HighDose_95th_Error
N/A,-1,0.0017667667707428336,0.0012139689642935991,0.006815766450017691,0.010540020652115345,0.03282955288887024,0.01736821047961712
N/A,-1,0.0020979850087314844,0.004818452522158623,0.011757833883166313,0.048404593020677567,0.0,0.0
N/A,-1,0.001956728519871831,0.005391797982156277,0.0086577869951725,0.045173563063144684,0.0,0.0
N/A,-1,0.0017677473369985819,0.005452713929116726,0.00651730177924037,0.0381736122071743,0.0,0.0
N/A,-1,0.0015941442688927054,0.00526464032009244,0.0025924043729901314,0.0500887893140316,0.008838832378387451,0.005950612481683493
N/A,-1,0.002073608571663499,0.0019589336588978767,0.011528815142810345,0.016242237761616707,0.0,0.0
N/A,-1,0.0015072518726810813,0.004738387186080217,0.002865491434931755,0.0488845556974411,0.0,0.0
N/A,-1,0.0013759786961600184,0.004811114631593227,0.0024286943953484297,0.04920366778969765,0.0,0.0
N/A,-1,0.0023310754913836718,0.005014358088374138,0.005929020699113607,0.045857176184654236,0.018644332885742188,0.012566875666379929
N/A,-1,0.00196626503020525,0.004921793006360531,0.004014698322862387,0.05010225251317024,0.0,0.0
N/A,-1,0.0022688580211251974,0.0011977991089224815,0.01056714542210102,0.01089486014097929,0.0,0.0
N/A,-1,0.0018307609716430306,0.004816086031496525,0.003302402328699827,0.05126093327999115,0.0,0.0
N/A,-1,0.0019809589721262455,0.005852857604622841,0.003485881257802248,0.04907714203000069,0.016306757926940918,0.0077546220272779465
N/A,-1,0.0028290452901273966,0.005427452735602856,0.0123722143471241,0.04197923466563225,0.0,0.0
N/A,-1,0.0023810751736164093,0.002016053767874837,0.010740738362073898,0.01348424144089222,0.0,0.0
N/A,-1,0.0018018868286162615,0.004795705433934927,0.0036358695942908525,0.04865853860974312,0.0,0.0
N/A,-1,0.0020842375233769417,0.005554851610213518,0.007289223838597536,0.03955477848649025,0.04724422097206116,0.014995679259300232
N/A,-1,0.002090606139972806,0.004905272275209427,0.003582012141123414,0.0481531135737896,0.0,0.0
N/A,-1,0.0017408865969628096,0.0048233261331915855,0.0033629548270255327,0.0485638827085495,0.0,0.0
N/A,-1,0.001846490427851677,0.005661369767040014,0.0024728940334171057,0.04856822267174721,0.0,0.0
N/A,-1,0.002597686368972063,0.006049762014299631,0.005487626418471336,0.0418955460190773,0.015968888998031616,0.012251609936356544
N/A,-1,0.0022879724856466055,0.0017070310423150659,0.008745280094444752,0.01121288351714611,0.0,0.0
N/A,-1,0.0020823460072278976,0.0019175108755007386,0.009647952392697334,0.018304308876395226,0.0,0.0
N/A,-1,0.0019455510191619396,0.0054845139384269714,0.0026266060303896666,0.04706485942006111,0.0,0.0
N/A,-1,0.001935143955051899,0.005086461082100868,0.007558739278465509,0.0480429045855999,0.041904330253601074,0.017999565228819847
N/A,-1,0.0026964619755744934,0.004959410522133112,0.009321004152297974,0.04612184315919876,0.0,0.0
N/A,-1,0.0021196934394538403,0.005105678457766771,0.009286475367844105,0.04839447885751724,0.0,0.0
N/A,-1,0.0019841636531054974,0.005670295096933842,0.004332553595304489,0.03657366707921028,0.0,0.0
N/A,-1,0.0024164835922420025,0.005428265314549208,0.0033882164862006903,0.04961755871772766,0.011895179748535156,0.007593018468469381
N/A,-1,0.0022481896448880434,0.005014400463551283,0.003772749099880457,0.04858607053756714,0.0,0.0
N/A,-1,0.0022851768881082535,0.005648285616189241,0.005185691174119711,0.048006318509578705,0.0,0.0
N/A,-1,0.002063063206151128,0.0047397189773619175,0.0034577299375087023,0.04522424191236496,0.0,0.0
N/A,-1,0.0020262193866074085,0.005141755566000938,0.006895337253808975,0.040949806571006775,0.041067272424697876,0.012294810265302658
N/A,-1,0.0015822564018890262,0.005247729830443859,0.0030362806282937527,0.04910198226571083,0.0,0.0
N/A,-1,0.0016962569206953049,0.005021819844841957,0.0028772002551704645,0.04920545592904091,0.0,0.0
N/A,-1,0.0015374093782156706,0.0051530711352825165,0.0024397862143814564,0.04847687855362892,0.0,0.0
N/A,-1,0.003494540462270379,0.006227710749953985,0.008280124515295029,0.04402895271778107,0.028362274169921875,0.018052220344543457
N/A,-1,0.001596774673089385,0.005071941297501326,0.005828247405588627,0.04620279371738434,0.0,0.0
N/A,-1,0.0014978725230321288,0.004908235743641853,0.002646099776029587,0.04804256185889244,0.0,0.0
N/A,-1,0.001384752569720149,0.005495935678482056,0.002287358744069934,0.049028344452381134,0.0,0.0
N/A,-1,0.002797611290588975,0.005379620473831892,0.010486479848623276,0.039139967411756516,0.051354020833969116,0.02348901517689228
N/A,-1,0.0021149718668311834,0.004690393339842558,0.005236231256276369,0.049566078931093216,0.0,0.0
N/A,-1,0.002292300807312131,0.0055297971703112125,0.007078063208609819,0.042606424540281296,0.0,0.0
N/A,-1,0.0021376297809183598,0.005014200694859028,0.0042626927606761456,0.04444998875260353,0.0,0.0
