uid,slice,Model_Global_RMSD,Base_Global_RMSD,Model_HighDose_RMSD,Base_HighDose_RMSD,Model_HighDose_MAX_Error,Model_HighDose_95th_Error
N/A,-1,0.0011821320513263345,0.0012139689642935991,0.005827514920383692,0.010540020652115345,0.026726096868515015,0.014571006409823895
N/A,-1,0.0019455712754279375,0.004818452522158623,0.013777666725218296,0.048404593020677567,0.0,0.0
N/A,-1,0.0019298952538520098,0.005391797982156277,0.011614914052188396,0.045173563063144684,0.0,0.0
N/A,-1,0.0016863498603925109,0.005452713929116726,0.008924564346671104,0.0381736122071743,0.0,0.0
N/A,-1,0.00119314668700099,0.00526464032009244,0.0019704103469848633,0.0500887893140316,0.009716957807540894,0.0038323686458170414
N/A,-1,0.001559760421514511,0.0019589336588978767,0.010109725408256054,0.016242237761616707,0.0,0.0
N/A,-1,0.00116023700684309,0.004738387186080217,0.002063687425106764,0.0488845556974411,0.0,0.0
N/A,-1,0.0012163284700363874,0.004811114631593227,0.002812832361087203,0.04920366778969765,0.0,0.0
N/A,-1,0.0018004474695771933,0.005014358088374138,0.005615795496851206,0.045857176184654236,0.021200627088546753,0.013216014951467514
N/A,-1,0.0011850332375615835,0.004921793006360531,0.003304178360849619,0.05010225251317024,0.0,0.0
N/A,-1,0.0012986655347049236,0.0011977991089224815,0.008198362775146961,0.01089486014097929,0.0,0.0
N/A,-1,0.0013413659762591124,0.004816086031496525,0.0037851352244615555,0.05126093327999115,0.0,0.0
N/A,-1,0.0012547110673040152,0.005852857604622841,0.0026788790710270405,0.04907714203000069,0.01628047227859497,0.0057929460890591145
N/A,-1,0.0022730655036866665,0.005427452735602856,0.010973533615469933,0.04197923466563225,0.0,0.0
N/A,-1,0.0017539921682327986,0.002016053767874837,0.008874669671058655,0.01348424144089222,0.0,0.0
N/A,-1,0.0013847396476194263,0.004795705433934927,0.0032288723159581423,0.04865853860974312,0.0,0.0
N/A,-1,0.001594794332049787,0.005554851610213518,0.006793954875320196,0.03955477848649025,0.039597004652023315,0.016755029559135437
N/A,-1,0.0016973225865513086,0.004905272275209427,0.003452257253229618,0.0481531135737896,0.0,0.0
N/A,-1,0.0012954010162502527,0.0048233261331915855,0.003278759540989995,0.0485638827085495,0.0,0.0
N/A,-1,0.0015323294792324305,0.005661369767040014,0.0027443396393209696,0.04856822267174721,0.0,0.0
N/A,-1,0.0020972597412765026,0.006049762014299631,0.0054812137968838215,0.0418955460190773,0.01694697141647339,0.012866380624473095
N/A,-1,0.0015258598141372204,0.0017070310423150659,0.007353306747972965,0.01121288351714611,0.0,0.0
N/A,-1,0.0013343399623408914,0.0019175108755007386,0.009087523445487022,0.018304308876395226,0.0,0.0
N/A,-1,0.0014651371166110039,0.0054845139384269714,0.002415902679786086,0.04706485942006111,0.0,0.0
N/A,-1,0.0016289197374135256,0.005086461082100868,0.008510300889611244,0.0480429045855999,0.05275702476501465,0.017824670299887657
N/A,-1,0.002400199184194207,0.004959410522133112,0.009992145001888275,0.04612184315919876,0.0,0.0
N/A,-1,0.0018215924501419067,0.005105678457766771,0.010133705101907253,0.04839447885751724,0.0,0.0
N/A,-1,0.0018134601414203644,0.005670295096933842,0.004946761764585972,0.03657366707921028,0.0,0.0
N/A,-1,0.0018371299374848604,0.005428265314549208,0.002931072609499097,0.04961755871772766,0.012895464897155762,0.007073280867189169
N/A,-1,0.0016242113197222352,0.005014400463551283,0.0021224648226052523,0.04858607053756714,0.0,0.0
N/A,-1,0.0015313500771299005,0.005648285616189241,0.004077891353517771,0.048006318509578705,0.0,0.0
N/A,-1,0.001623024931177497,0.0047397189773619175,0.005463967099785805,0.04522424191236496,0.0,0.0
N/A,-1,0.0016587715363129973,0.005141755566000938,0.006570163648575544,0.040949806571006775,0.03490188717842102,0.012049066834151745
N/A,-1,0.0012149070389568806,0.005247729830443859,0.0030816649086773396,0.04910198226571083,0.0,0.0
N/A,-1,0.0012997474987059832,0.005021819844841957,0.0026499121449887753,0.04920545592904091,0.0,0.0
N/A,-1,0.001187215792015195,0.0051530711352825165,0.002057252451777458,0.04847687855362892,0.0,0.0
N/A,-1,0.0033598945010453463,0.006227710749953985,0.008612943813204765,0.04402895271778107,0.027374088764190674,0.018633902072906494
N/A,-1,0.001261891215108335,0.005071941297501326,0.005218944512307644,0.04620279371738434,0.0,0.0
N/A,-1,0.0011511864140629768,0.004908235743641853,0.0025495111476629972,0.04804256185889244,0.0,0.0
N/A,-1,0.0011674585985019803,0.005495935678482056,0.0021547030191868544,0.049028344452381134,0.0,0.0
N/A,-1,0.0019173050532117486,0.005379620473831892,0.00812173169106245,0.039139967411756516,0.042698562145233154,0.019300617277622223
N/A,-1,0.0012996511068195105,0.004690393339842558,0.004199217073619366,0.049566078931093216,0.0,0.0
N/A,-1,0.0013736023101955652,0.0055297971703112125,0.005410370882600546,0.042606424540281296,0.0,0.0
N/A,-1,0.0015810222830623388,0.005014200694859028,0.004962696228176355,0.04444998875260353,0.0,0.0
N/A,-1,0.0017689376836642623,0.004679095931351185,0.011357140727341175,0.04868107661604881,0.06633687019348145,0.02488696202635765
N/A,-1,0.0018138779560104012,0.005046567413955927,0.00794145930558443,0.043549057096242905,0.0,0.0
N/A,-1,0.0016565578989684582,0.005108520854264498,0.009837411344051361,0.047471605241298676,0.0,0.0
N/A,-1,0.0018531021196395159,0.006058174185454845,0.005985338240861893,0.039283089339733124,0.0,0.0
N/A,-1,0.0015732226893305779,0.0050313109531998634,0.005913884844630957,0.04722196236252785,0.03216910362243652,0.012107737362384796
N/A,-1,0.0016930591082200408,0.004863141104578972,0.004850191995501518,0.04569792002439499,0.0,0.0
N/A,-1,0.0020731796976178885,0.00527575146406889,0.007658385671675205,0.042271874845027924,0.0,0.0
N/A,-1,0.001237577060237527,0.005201793275773525,0.0026188588235527277,0.048474036157131195,0.0,0.0
N/A,-1,0.002166868420317769,0.005666864104568958,0.00959962047636509,0.042518340051174164,0.048990458250045776,0.024784836918115616
N/A,-1,0.0016591581515967846,0.0059082661755383015,0.00418450590223074,0.04785727337002754,0.0,0.0
N/A,-1,0.0016785191837698221,0.0016838666051626205,0.009184866212308407,0.012173091992735863,0.0,0.0
N/A,-1,0.0014148079790174961,0.005756371188908815,0.0053352429531514645,0.053418878465890884,0.0,0.0
N/A,-1,0.0015359699027612805,0.005369923543184996,0.006667817942798138,0.036493800580501556,0.05153298377990723,0.015061041340231895
N/A,-1,0.001965563977137208,0.0052964771166443825,0.0065397946164011955,0.05206891521811485,0.0,0.0
N/A,-1,0.0012736436910927296,0.004962852690368891,0.003646594937890768,0.04909154027700424,0.0,0.0
N/A,-1,0.0013401447795331478,0.005221277475357056,0.0029656479600816965,0.04869484901428223,0.0,0.0
N/A,-1,0.0020767375826835632,0.005564006045460701,0.01088157668709755,0.04856373742222786,0.06830763816833496,0.02130519598722458
N/A,-1,0.001417361432686448,0.001512262038886547,0.006710574496537447,0.010738356970250607,0.0,0.0
N/A,-1,0.0020397829357534647,0.004670478869229555,0.012873356230556965,0.04610929638147354,0.0,0.0
N/A,-1,0.0024751764722168446,0.006432102993130684,0.011330547742545605,0.049996450543403625,0.0,0.0
N/A,-1,0.0020585479214787483,0.006587104871869087,0.010568741708993912,0.0493914969265461,0.05632507801055908,0.023801039904356003
N/A,-1,0.0018905149772763252,0.0047486755065619946,0.009525153785943985,0.04848908260464668,0.0,0.0
N/A,-1,0.001823903527110815,0.005371164530515671,0.006728965789079666,0.03914894536137581,0.0,0.0
N/A,-1,0.00156701123341918,0.005192055832594633,0.004231086000800133,0.03590227663516998,0.0,0.0
N/A,-1,0.0017223918111994863,0.0023550610058009624,0.009209665469825268,0.01744106039404869,0.056348443031311035,0.01800696738064289
N/A,-1,0.0014517123345285654,0.0047955890186131,0.002301970962435007,0.04891469329595566,0.0,0.0
N/A,-1,0.0013136008055880666,0.004782309290021658,0.0025920942425727844,0.050437942147254944,0.0,0.0
N/A,-1,0.0015091132372617722,0.005116512533277273,0.003177252598106861,0.04881124570965767,0.0,0.0
